index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
35	14	60517145	104666652	73703747	73743367	63569341	105986740	467	RNA5SP389,LINC00221,LINC00226,ADAM6,KIAA0125,IGHJ1,IGHJ2,IGHJ3,IGHJ4,IGHJ5,IGHJ6,IGHM,IGHD,IGHG3,IGHG1,IGHA1,IGHG2,IGHG4,IGHE,IGHA2,CRIP1,C14orf79,LINC00638,ZBTB42,C14orf144,RN7SL634P,LINC00637,SNORD51|ENSG00000202275.1,APOPT1,SNORA28,LINC00605,LINC00677,snoU13|ENSG00000238853.1,RN7SL546P,snoU13|ENSG00000239061.1,RN7SL472P,LINC00524,U3|ENSG00000206761.1,MEG9,MIR369,MIR377,MIR485,MIR134,MIR382,MIR381HG,MIR376A1,MIR376C,MIR380,MIR299,MIR379,SNORD113|ENSG00000222185.1,SNORD112|ENSG00000252009.1,SNORD113|ENSG00000222095.1,SNORD113|ENSG00000201710.1,SNORD113|ENSG00000201036.1,SNORD113|ENSG00000201500.1,SNORD113|ENSG00000200150.1,SNORD112|ENSG00000251918.1,SNORD112|ENSG00000252144.1,SNORD112|ENSG00000251949.1,SNORD112|ENSG00000252873.1,SNORD112|ENSG00000251769.1,MEG8,MIR433,MEG3,RN7SKP92,RN7SL523P,YY1,DEGS2,MIR342,CCNK,U6|ENSG00000272439.1,RN7SL714P,RN7SL710P,LINC00618,RN7SKP108,snoU13|ENSG00000238776.1,DKFZP434O1614,C14orf132,LINC00617,GLRX5,SCARNA13,SNHG10,MIR4506,SLC24A4,NDUFB1,U3|ENSG00000200042.1,RN7SL506P,SNORA11B,LINC00642,RN7SKP255,RN7SKP107,KCNK10,GPR65,LINC00911,RNU3P3,RNU6ATAC28P,snoU13|ENSG00000238978.1,SNORA79|ENSG00000221303.1,NRXN3,RNA5SP388,RN7SL587P,SNORA46|ENSG00000212371.1,FKSG61,SAMD15,RN7SL137P,TMED8,SNORA32|ENSG00000201384.1,RN7SL356P,RN7SKP17,RN7SL747P,TGFB3,C14orf1,RNA5SP387,RNU4ATAC14P,SNORA7|ENSG00000222604.1,ISCA2,MIR4709,RN7SL530P,LIN52,ENTPD5,snoU13|ENSG00000238330.1,ACOT4,C14orf169,RN7SL586P,snoU13|ENSG00000238972.1,RN7SL683P,SNORD56B,RN7SL77P,ADAM20P1,SYNJ2BP,ADAM21P1,SNORA11|ENSG00000221060.1,SLC10A1,CCDC177|ENSG00000267909.1,CCDC177|ENSG00000255994.1,ERH,RN7SL224P,RN7SL108P,RN7SL706P,RN7SL213P,U3|ENSG00000252792.1,RN7SL369P,ATP6V1D,MIR4706,FNTB,ZBTB25,U3|ENSG00000200693.1,WDR89,SCARNA20|ENSG00000252800.1,RN7SL540P,PPP2R5E,GPHB5,SERPINA3,ACTN1,ACYP1,AKT1,ARG2,BDKRB1,BDKRB2,ZFP36L1,CALM1,SERPINA6,FOXN3,CHGA,CKB,CRIP1,CRIP2,DIO2,DIO3,DLST,DYNC1H1,EIF2S1,EIF5,EML1,ESR2,ESRRB,FOS,FUT8,GALC,GPX2,GSTZ1,GTF2A1,BRF1,HSPA2,HSP90AA1,IFI27,ITPK1,JAG2,KLC1,LTBP2,MARK3,MAX,ATXN3,MAP3K9,ALDH6A1,MTHFD1,SERPINA5,PGF,SERPINA1,SERPINA4,PIGH,PPP2R5C,LGMN,PSEN1,PSMC1,ABCD4,RAD51B,MOK,SEL1L,SRSF5,SLC8A3,SPTB,TNFAIP2,TRAF3,TSHR,VRK1,WARS,XRCC3,DPF3,GPR68,TCL1A,NUMB,ADAM21,ADAM20,DLK1,DCAF5,ALKBH1,EIF2B2,MTA1,PNMA1,RPS6KA5,TRIP11,AKAP5,SPTLC2,BAG5,C14orf2,CDC42BPB,TCL1B,RGS6,KIAA0247,AREL1,TECPR2,GOLGA5,MED6,GPHN,VTI1B,FBLN5,BATF,SIVA1,NPC2,AHSA1,CYP46A1,PAPOLA,ACOT2,TMED10,PTPN21,VASH1,ZBTB1,SNW1,PCNX,TTLL5,RCOR1,SYNE2,PACS2,ANGEL1,PPP1R13B,DICER1,ZFYVE26,TTC9,FLRT2,PLEKHG3,SIPA1L1,DCAF4,KIF26A,TMEM251,PLEK2,TCL6,MLH3,GPR132,POMT2,COQ6,FCF1,RDH11,SERPINA10,COX16,EVL,GSKIP,CINP,ASB2,ZFYVE1,CPSF2,CDCA4,NRDE2,ATG2B,UBR7,EXD2,VRTN,SLC39A9,FLVCR2,GPATCH2L,SMEK1,BTBD7,TDP1,ZNF839,SPATA7,YLPM1,KCNK13,DDX24,ADCK1,TMEM63C,RHOJ,GALNT16,PLEKHH1,UNC79,BEGAIN,PPP4R4,ZNF410,NGB,RBM25,VIPAS39,SMOC1,MOAP1,IRF2BPL,MPP5,INF2,BCL11B,OTUB2,ZFYVE21,WDR25,LINC00341,ZC2HC1C,CLMN,CATSPERB,ZC3H14,RIN3,C14orf159,CCDC176,TMEM121,SGPP1,AMN,SLIRP,DNAL1,RPS6KL1,IFI27L2,SETD3,HHIPL1,C14orf142,STON2,KIAA1737,PAPLN,FAM181A,BTBD6,EFCAB11,CHURC1,ELMSAN1,NEK9,EXOC3L4,WDR20,IFT43,AHNAK2,TRMT61A,TDRD9,ANKRD9,AK7,IFI27L1,PLD4,ADSSL1,NOXRED1,JDP2,TTC8,TC2N,SLC25A29,RDH12,GSC,SERPINA12,PRIMA1,PPP1R36,PTGR2,FAM161B,C14orf166B,ISM2,CEP128,TTC7B,FAM71D,TMEM229B,SYNE3,EML5,NUDT14,LINC00521,SERPINA11,PROX2,ZDHHC22,C14orf178,C14orf177,SLC25A47,LINC00523,CEP170B,C14orf80,CCDC85C,SERPINA9,VSX2,COX8C,ASPG,RAB15,SERPINA13P,C14orf64,RTL1,TMEM179,HEATR4,PLEKHD1,C14orf180,MIR127,MIR136,MIR154,MIR203,LINC00238,CCDC88C,MIR323A,MIR337,MIR345,MIR370,MIR381,MIR431,MIR323B,MIR409,MIR412,MIR410,MIR493,MIR432,MIR494,MIR495,MIR496,MIR487A,ACOT1,ACOT6,SYNDIG1L,RD3L,TEX22,MIR539,MIR544A,MIR487B,MIR411,MIR625,MIR654,MIR655,MIR656,MIR758,MIR770,MIR300,MIR541,MIR665,MIR543,MIR889,DIO3OS,MIR1260A,MIR1197,MIR548H1,MIR1193,MIR4309,MIR3173,MIR4505,MIR4708,MIR151B,MIR4710,MIR2392,MIR5694,	1	PAPLN,	[Not Available]	[Not Available]	[Not Available]	0	14q24.2	5.7274e-07
36	15	24119666	59264164	38208471	38261653	33489957	45341718	149	SORD,B2M,RN7SL347P,HYPK,CATSPER2P1,snoU13|ENSG00000238494.1,snoU13|ENSG00000238535.1,RN7SL487P,CCNDBP1,snoU13|ENSG00000239025.1,MIR627,MIR4310,RNA5SP393,MIR626,RN7SL497P,RN7SL376P,snoU13|ENSG00000238559.1,LINC00594,RNA5SP392,LINC00984,snoU13|ENSG00000238564.1,THBS1,FAM98B,U3|ENSG00000212511.1,CSNK1A1P1,MIR3942,ANP32AP1,GJD2,SNORA18|ENSG00000252425.1,SLC12A6,TMCO5B,ACTC1,BUB1B,CAPN3,CHRM5,CKMT1B,EPB42,GANC,GCHFR,PDIA3,ITPKA,IVD,LTK,MAP1A,MEIS2,MFAP1,PLCB2,RAD51,RYR3,SPINT1,SRP14,TP53BP1,TYRO3,EIF3J,SNAP23,TGM5,PPIP5K1,AQR,LCMT2,RASGRP1,GPR176,CHP1,OIP5,BAHD1,MAPKBP1,GOLGA8A,RTF1,MGA,VPS39,SERF2,TMEM87A,RPAP1,RPUSD2,TUBGCP4,EHD4,NDUFAF1,NUSAP1,EMC4,SPTBN5,CTDSPL2,DLL4,INO80,PPP1R14D,ZNF770,HAUS2,RMDN3,DNAJC17,NOP10,EMC7,PAK6,CASC5,AVEN,STARD9,VPS18,ZNF106,CHAC1,KATNBL1,WDR76,TMEM62,SPG11,ELL3,C15orf41,ZFYVE19,FRMD5,DISP2,DPH6,C15orf57,KNSTRN,BMF,CHST14,CASC4,TGM7,CATSPER2,PLA2G4E,TRIM69,C15orf43,TMCO5A,ZSCAN29,TTBK2,CDAN1,STRC,SPRED1,PGBD4,ADAL,EXD1,FSIP1,RHOV,UBR1,PATL2,LPCAT4,PLA2G4F,LRRC57,NUTM1,PLA2G4D,C15orf52,C15orf53,C15orf54,GOLGA8B,EIF2AK4,CKMT1A,SERINC4,C15orf62,C15orf56,PHGR1,ANKRD63,JMJD7,PLA2G4B,MIR1282,MIR4510,	1	TMCO5A,	[Not Available]	[Not Available]	[Not Available]	0	15q14	3.453e-12
37	16	21072013	24486592	21352038	22785942	20590837	27048236	64	C16orf82,RNA5SP405,MIR548W,RN7SL557P,SNORA1|ENSG00000201541.1,DCTN5,SNORA75|ENSG00000212593.1,RN7SKP23,RN7SL245P,snoU13|ENSG00000239172.1,SMG1P1,RRN3P3,EEF2K,SDR42E2,snoU13|ENSG00000238712.1,NPIPB4,RRN3P1,SCARNA6|ENSG00000252798.1,snoU13|ENSG00000238954.1,NPIPB3,DCUN1D3,AQP8,CDR2,CRYM,NDUFAB1,PLK1,PRKCB,RBBP6,ACSM3,SCNN1B,SCNN1G,UQCRC2,ZP2,HS3ST4,HS3ST2,IGSF6,CACNG3,ERN2,GGA2,TNRC6A,METTL9,LCMT1,ARHGAP17,DNAH3,THUMPD1,POLR3E,UBFD1,TMEM159,LYRM1,USP31,CHP2,PALB2,COG7,ERI2,SLC5A11,ACSM1,EARS2,VWA3A,OTOA,PDZD9,ANKS4B,ZKSCAN2,C16orf52,NPIPB5,	22	RN7SL245P,snoU13|ENSG00000239172.1,SMG1P1,RRN3P3,EEF2K,SDR42E2,snoU13|ENSG00000238712.1,NPIPB4,RRN3P1,SCARNA6|ENSG00000252798.1,snoU13|ENSG00000238954.1,NPIPB3,CDR2,UQCRC2,IGSF6,METTL9,POLR3E,VWA3A,OTOA,PDZD9,C16orf52,NPIPB5,	[Not Available]	[Not Available]	[Not Available]	0	16p12.2	0.0057085
38	16	77952599	78108961	78016119	78101372	70836370	89379319	191	FAM157C,TUBB8P7,URAHP,TUBB3,SNORD68,SLC22A31,MIR4722,MIR5189,ZFPM1,ZNF469,FLJ00104,FBXO31,snoU13|ENSG00000239186.1,FENDRR,LINC00917,GINS2,RN7SL381P,LINC00311,TLDC1,RNA5SP433,KCNG4,RNA5SP432,MIR3182,RN7SL134P,snoU13|ENSG00000238321.1,RN7SKP190,7SK|ENSG00000260682.2,MIR4720,GAN,PKD1L2,CMC2,RNA5SP431,PIH1,MON1B,SNORD33|ENSG00000252022.1,RN7SKP233,RNA5SP430,RN7SL520P,ADAT1,CHST6,SNORA76|ENSG00000252122.1,GLG1,NPIPB15,HCCAT5,PKD1L3,IST1,SNORD71,SNORA70D,TAT,SNORD112|ENSG00000251700.1,RNU6ATAC25P,AP1G1,AFG3L1P,APRT,ZFHX3,C16orf3,CA5A,CALB2,CBFA2T3,CDH13,CDH15,COX4I1,CTRB1,CYBA,DHODH,DPEP1,FANCA,FOXF1,FOXL1,FOXC2,GALNS,GAS8,GCSH,HP,HPR,HSBP1,HSD17B2,IRF8,KARS,MAF,MC1R,MVD,CHMP1A,PLCG2,PSMD7,RPL13,SPG7,ZNF19,ZNF23,SLC7A5,CDK10,MBTPS1,TAF1C,USP10,BCAR1,VPS9D1,KIAA0513,PIEZO1,DHX38,ATP2C2,CLEC3A,CHST4,MPHOSPH6,EMC8,TUBB3,CFDP1,PRDM7,GABARAPL2,TCF25,PHLPP2,ZCCHC14,GSE1,ATMIN,COTL1,MLYCD,CHST5,CPNE7,IL17C,ANKRD11,OSGIN1,TRAPPC2L,WWOX,BCMO1,TERF2IP,NECAB2,KLHDC4,HYDIN,DEF8,TXNL4B,BANP,RFWD3,ZNF821,ZDHHC7,FTSJD1,CENPN,JPH3,VAT1L,WFDC1,MTHFSD,DBNDD1,FA2H,TMEM231,WDR59,KLHL36,CMIP,CDT1,MAP1LC3B,PMFBP1,DYNLRB2,HSDL1,CRISPLD2,SPIRE2,ZNRF1,CNTNAP4,MARVELD3,CENPBD1,ZNF276,SDR42E1,PKD1L2,RNF166,C16orf46,DNAAF1,SPATA2L,SPATA33,ZC3H18,CDYL2,TMEM170A,SLC38A8,ADAD2,ZFP1,ADAMTS18,LDHD,MLKL,ZNF778,ACSF3,LINC00304,NUDT7,SNAI3,FAM92B,ATXN1L,CTU2,C16orf47,PABPN1L,C16orf74,CTRB2,CLEC18B,SYCE1L,MIR1910,C16orf95,MIR4719,MIR5093,	1	CLEC3A,	[Not Available]	[Not Available]	[Not Available]	0	16q23.1	0.023089
39	17	3311983	8132587	7549750	7583083	7534404	7583743	3	ATP1B2,TP53,SAT2,	1	ATP1B2,	[Not Available]	[Not Available]	[Not Available]	0	17p13.1	8.868e-08
40	17	29360004	29695575	29420578	29710352	29327128	29711411	5	EVI2A,EVI2B,NF1,OMG,MIR4733,	5	EVI2A,EVI2B,NF1,OMG,MIR4733,	[Not Available]	[Not Available]	[Not Available]	0	17q11.2	6.0683e-06
41	18	68132965	73715932	69049158	71367032	67998275	74326105	22	ZNF516,SMIM21,ZADH2,RN7SL551P,RN7SL401P,MIR548AV,RNA5SP460,RN7SL795P,CYB5A,TSHZ1,TIMM21,ZNF407,CNDP2,NETO1,CNDP1,FAM69C,CBLN2,FBXO15,GTSCR1,LINC00908,LINC00909,C18orf63,	4	MIR548AV,RNA5SP460,NETO1,CBLN2,	[Not Available]	[Not Available]	[Not Available]	0	18q22.3	0.0012983
42	19	40357018	58878226	51728007	51747231	51488556	51912018	21	SIGLEC22P,SIGLEC17P,KLK13,KLK9,CD33,ETFB,LIM2,NKG7,KLK10,KLK11,KLK8,SIGLEC7,SIGLEC9,KLK14,KLK12,CTU1,CLDND2,VSIG10L,KLK9,SIGLECL1,IGLON5,	1	CD33,	[Not Available]	[Not Available]	[Not Available]	0	19q13.41	1.1859e-15
43	21	21397176	22454885	22111707	22176478	15372509	26573708	41	RNA5SP489,7SK|ENSG00000232512.2,RN7SL609P,LINC00308,LINC00317,LINC00320,RN7SKP147,RN7SL163P,SNORD74|ENSG00000201025.1,snoU13|ENSG00000238591.1,RNA5SP488,ANKRD20A11P,CYP4F29P,ANKRD30BP2,BAGE2,SNORA70|ENSG00000252199.1,RN7SL52P,TEKT4P2,MIR3648,CXADR,NCAM2,TMPRSS15,HSPA13,TPTE,NRIP1,BTG3,USP25,RBM11,C21orf91,SAMSN1,CHODL,LIPI,ABCC13,POTED,LINC00478,MIRLET7C,MIR125B2,MIR99A,MIR548X,MIR3687,C21orf37,	1	LINC00320,	[Not Available]	[Not Available]	[Not Available]	0	21q21.1	0.11207
44	22	41905080	49331012	48883796	49287130	48670715	49331012	42	ARSA,RN7SL500P,DENND6B,TTLL8,ALG12,RN7SKP252,ACR,CHKB,CPT1B,TYMP,MAPK11,MAPK12,SBF1,PPP6R2,ZBED4,SCO2,RABL2B,MLC1,MAPK8IP2,PLXNB2,BRD1,FAM19A5,NCAPH2,MOV10L1,MIOX,PANX2,CRELD2,ADM2,TRABD,HDAC10,SHANK3,TUBGCP6,LMF2,KLHDC7B,C22orf34,IL17REL,PIM3,ODF3B,SYCE3,MIR3201,MIR3667,MIR4535,	2	FAM19A5,MIR4535,	[Not Available]	[Not Available]	[Not Available]	0	22q13.32	3.4736e-11
